Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM▼,BPM,VORP,Awards,Player-additional
152,Maxime Raynaud,22,SAC,C,74,56,1964,16.0,.619,.110,.250,7.9,24.3,15.8,7.6,0.9,1.8,11.2,18.2,2.6,1.0,3.6,.088,-0.9,-1.6,-2.4,-0.2,,raynama01
153,Bobby Portis,30,MIL,PF,67,9,1619,17.1,.587,.395,.091,6.3,23.5,14.9,10.5,1.2,0.7,7.8,23.1,1.6,1.2,2.8,.083,1.5,-1.6,0.0,0.8,,portibo01
154,CJ McCollum,34,2TM,PG,76,60,2264,15.9,.566,.442,.205,2.9,9.2,6.0,19.7,1.3,1.4,9.7,25.7,1.9,1.0,3.0,.063,1.4,-1.7,-0.3,1.0,,mccolcj01
155,Isaiah Collier,21,UTA,PG,59,19,1517,14.8,.567,.194,.406,1.5,9.4,5.3,39.2,2.0,1.3,19.6,20.4,1.3,0.3,1.7,.053,-0.7,-1.8,-2.4,-0.2,,colliis01
156,Saddiq Bey,26,NOP,SF,72,64,2246,17.1,.579,.426,.305,5.7,13.5,9.6,11.9,1.4,0.3,5.8,21.6,4.5,1.0,5.4,.116,2.3,-1.8,0.5,1.4,,beysa01
157,A.J. Green,26,MIL,SG,78,68,2270,9.4,.627,.896,.100,1.5,9.1,5.3,9.2,0.8,0.4,10.4,14.0,2.0,0.4,2.4,.050,-1.5,-1.8,-3.3,-0.8,,greenaj01
158,Tim Hardaway Jr.,33,DEN,SG,80,6,2127,13.5,.624,.706,.252,0.9,9.5,5.4,6.9,1.0,0.4,4.7,18.5,3.5,1.0,4.4,.100,1.3,-1.9,-0.7,0.7,6MOY-3,hardati02
159,Andrew Nembhard,26,IND,PG,57,57,1786,15.7,.564,.393,.311,1.5,8.4,4.9,37.0,1.4,0.4,13.8,23.6,2.2,0.7,2.8,.077,1.1,-1.9,-0.8,0.6,,nembhan01
160,Cody Williams,21,UTA,SG,67,41,1631,9.6,.524,.257,.234,3.9,9.3,6.6,11.4,1.5,1.5,11.5,16.0,0.0,0.1,0.1,.004,-3.6,-1.9,-5.5,-1.5,,willico04
161,Keyonte George,22,UTA,PG,54,54,1786,18.5,.609,.410,.429,1.4,10.9,6.0,28.4,1.5,0.8,13.7,27.9,3.1,0.1,3.3,.088,3.0,-2.1,0.9,1.3,,georgke01
162,Ace Bailey,19,UTA,SF,72,61,1988,11.6,.533,.446,.099,5.5,11.0,8.2,9.7,1.4,2.4,10.3,21.4,-0.4,0.3,-0.1,-0.001,-1.9,-2.5,-4.4,-1.2,,baileac01
163,Bub Carrington,20,WAS,PG,82,48,2271,9.9,.556,.559,.150,1.5,11.7,6.5,23.0,1.1,0.7,19.5,18.0,-0.3,-0.1,-0.4,-0.009,-2.2,-2.5,-4.7,-1.6,,carrica01
164,Will Riley,19,WAS,SF,74,18,1633,12.1,.548,.400,.291,3.6,10.4,7.0,12.7,1.6,0.5,11.9,20.2,0.4,0.0,0.4,.012,-1.9,-2.6,-4.5,-1.0,,rileywi01
165,Brice Sensabaugh,22,UTA,SF,75,22,1762,14.4,.590,.516,.235,3.4,11.0,7.1,12.4,1.4,0.7,11.6,24.9,1.0,0.1,1.1,.029,0.4,-3.0,-2.6,-0.3,,sensabr01
,League Average,,,,,,,,.581,.415,.264,5.2,14.8,10.0,16.2,1.7,1.9,12.2,19.9,,,,,,,,,,-9999
